Time,0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0,0
1,9.238460554609508,6.506482256941941,6.506482256941941,6.506482256941941,7.03563923254822,7.03563923254822,7.03563923254822,7.03563923254822
2,19.39379147774809,14.641251891841573,14.641251891841573,14.641251891841573,14.641251891841573,14.641251891841573,14.91248326273555,14.91248326273555
3,27.920742512121933,22.055163284524525,22.055163284524525,22.055163284524525,22.055163284524525,22.055163284524525,22.055163284524525,22.055163284524525
4,38.23009407148057,29.70474905871656,29.775614771623392,29.775614771623392,29.775614771623392,29.775614771623392,30.850519349024843,30.850519349024843
5,47.75092579249352,37.411167552190435,37.53050836126246,38.58071384171751,38.58071384171751,38.90576469461343,38.90576469461343,38.90576469461343
6,56.47040262214244,45.34259216070051,45.34259216070051,47.453354129054574,47.453354129054574,47.453354129054574,48.643419635480235,48.643419635480235
7,67.01078513583117,53.87359281383239,55.572648372708656,56.06358292411691,56.06358292411691,56.06358292411691,59.269853058093155,59.269853058093155
8,75.85861249566346,62.466592797089916,63.49911259174466,64.01371206682681,64.01371206682681,64.01371206682681,66.68013505298401,66.68013505298401
9,85.66181538307985,71.48276702057966,71.48276702057966,72.74921958313153,72.74921958313153,72.74921958313153,75.80256019571996,75.80256019571996
10,97.33084664010025,77.86533233948109,77.86533233948109,81.54736646005745,81.54736646005745,81.54736646005745,83.31988297985157,83.31988297985157
11,109.08330574173984,83.984324677094,83.984324677094,90.1033170147069,90.1033170147069,90.1033170147069,90.1033170147069,90.1033170147069
12,119.0982870039588,92.08857220554076,94.5861172527955,98.28312381302783,98.28312381302783,98.28312381302783,100.19281973398752,100.19281973398752
13,129.18386105777864,100.24965245326936,104.4410155744326,108.38533900790044,108.38533900790044,108.41073270099797,108.41073270099797,108.41073270099797
14,141.18660369327583,108.46756542027981,113.53758160004547,116.68547838729026,116.68547838729026,116.68547838729026,116.68547838729026,116.68547838729026
15,151.4133633302974,116.7423111065721,122.69705685643723,125.0170567928644,125.0170567928644,125.0170567928644,125.0170567928644,125.0170567928644
16,160.77459281086323,128.10355438690047,131.08104275386506,134.53718700430204,134.53718700430204,135.72003700695961,136.3392553455422,136.3392553455422
17,171.1425380310865,139.54229682988588,142.05457169325993,145.71984222051572,145.71984222051572,145.72637794167338,147.7387611348939,147.7387611348939
18,181.58107604291064,148.75529011439986,151.40277464198832,155.0256397035688,155.0256397035688,155.0256397035688,155.68424707598854,155.68424707598854
19,191.13483131875154,160.3490308826994,160.81388682149557,163.93118351605585,163.93118351605585,165.1676992529618,167.238367338688,167.238367338688
20,201.7145549137774,170.28790823178173,170.28790823178173,173.71132505161842,173.71132505161842,173.80686136250478,176.18561926128285,176.18561926128285
21,213.33308188100654,180.69183256748903,180.69183256748903,182.50344288595053,182.50344288595053,182.50344288595053,186.09301019178434,186.09301019178434
22,223.07936295212252,190.29167243933293,190.29167243933293,192.8490803573624,192.8490803573624,192.8490803573624,197.87905216450542,197.87905216450542
23,234.85191055557172,199.81466237447512,201.71128501515986,201.99296788363063,201.99296788363063,202.4615389223638,208.82983605010077,208.82983605010077
24,245.714005317001,210.19840074518194,211.33037868751782,211.33037868751782,211.33037868751782,211.33037868751782,219.8519804618566,219.8519804618566
25,257.6405735566703,217.07410377915969,217.07410377915969,217.07410377915969,217.07410377915969,221.0681159737616,229.09656791012023,229.09656791012023
26,270.64445032759784,227.59217403180543,227.82116937366087,228.09177551105546,228.09177551105546,230.86849262062654,238.4006224635176,238.4006224635176
27,283.7317549431446,238.63686321992083,238.63686321992083,238.96487629721435,240.03279708930015,242.37534462936037,247.76414412204875,247.76414412204875
28,293.86308760481074,249.47461425779483,249.47461425779483,249.47461425779483,249.47461425779483,251.47386205012543,258.91643142628953,258.91643142628953
29,305.07814632424436,260.4275646075723,260.4275646075723,261.47924156947244,260.70354519054206,263.12687256697535,271.3805149573498,271.3805149573498
30,315.33782951609385,269.55480108309223,270.5306783256472,272.3402288155459,272.3402288155459,272.3402288155459,281.5535850641165,281.5535850641165
31,325.66168797303504,279.5737856592396,282.5450690833835,285.50022645569,283.89484681530183,284.13939784051195,292.11511415108924,292.11511415108924
32,336.04972169506794,291.844098337595,291.844098337595,298.73771645541404,293.467592916888,293.467592916888,302.79578799326407,302.79578799326407
33,348.59237247961744,302.8323301770269,302.85320740716685,311.0284694024639,302.85320740716685,302.85320740716685,312.2388218974457,312.2388218974457
34,361.21203358227694,312.1868975296742,312.26661708097635,321.54146488232146,314.0131565666542,314.0131565666542,321.68002675478584,321.68002675478584
35,373.9087050030465,321.73721696458483,321.73721696458483,330.53535940442686,325.24096503348113,325.24096503348113,330.53535940442686,330.53535940442686
36,387.74686022016607,332.217786067333,332.217786067333,341.998594313541,339.2485213376421,337.4055303287375,346.41208424414987,342.41383013010875
37,399.52666127240656,341.8027663705394,341.8027663705394,354.36366138195115,349.86414350079514,347.0208224746274,356.6361146205173,354.36366138195115
38,411.3770551162479,353.9979095720708,355.0317474653424,365.38308717845376,361.50982505526605,356.69353403442,366.3662455942126,365.38308717845376
39,422.21431569392263,367.1416335935115,369.4374909241176,378.103028578562,375.17229017168523,369.0773370918505,380.28535761495215,379.49106486664436
40,434.2058951209657,378.6000270197295,383.91758165563147,388.61399948938725,388.61399948938725,379.7546647874121,395.38230015878196,388.61399948938725
41,448.46118956118124,391.38962909827677,396.2328753515375,398.81006061979093,398.81006061979093,391.38962909827677,408.5481690474435,398.81006061979093
42,461.696933208721,402.19223551508077,409.7363694533755,410.0911416788821,411.7078945716031,402.19223551508077,422.6473173086892,410.0911416788821
43,473.90029101056666,412.0582973412646,419.3746374854861,419.3746374854861,421.9243591674485,412.15204414438716,436.828220064944,419.3746374854861
44,488.4058689846398,423.78535453136044,430.78654617587154,430.78654617587154,434.963032586495,423.99058637727074,453.46798685808517,430.78654617587154
45,500,434.0652338343827,442.2110285568002,442.83991520794086,448.07212573915865,434.0652338343827,467.8123986043581,444.13988129149465
46,500,446.0394946819455,454.51194041579595,455.6826176131743,461.25163862543945,446.0394946819455,484.64292588585386,455.6826176131743
47,500,457.05046854010317,465.1801949982598,465.1801949982598,475.52079683148344,456.22898096686293,500,465.1801949982598
48,500,467.2006939626962,477.3509193852893,477.3509193852893,489.86579167373054,467.40742354739405,500,477.3509193852893
49,500,477.4077521045711,487.614810246446,487.614810246446,500,478.64850548854633,500,487.614810246446
50,500,489.5378049404836,499.996031569046,499.996031569046,500,490.89420356546765,500,500
51,500,500,500,500,500,500,500,500
