Time,0,1,2,3,4
0,0,0,0,0,0
1,6.073114354060698,6.073114354060698,8.082867782304996,8.082867782304996,8.889889227706078
2,16.951732584990637,16.951732584990637,17.785829672196325,18.443963371012753,20.605265230653554
3,25.17217412597128,25.17217412597128,28.535120822835747,28.878868280040095,30.43595964621049
4,35.415123026142936,35.52457338692607,37.135715174526965,37.135715174526965,42.31425024059967
5,44.56325376985201,44.56325376985201,46.96234418493158,46.96234418493158,53.60193415277796
6,53.668535176209744,53.668535176209744,58.93767912956755,56.85751042134724,62.77381658256748
7,64.13958868370045,64.2514764413515,69.99110256724282,65.28833642801598,73.71916243468473
8,71.35800217459865,71.35800217459865,78.4645279078458,75.32057711645372,84.90627223051793
9,78.51575946433181,78.51575946433181,85.67351675406496,83.86738919791038,96.16805121409523
10,85.72474831055095,85.72474831055095,92.93373715677009,92.472194316761,108.5350855828095
11,92.25894667298557,92.25894667298557,106.35630301324686,101.92251957811872,120.98357724724463
12,101.76383421993404,101.76383421993404,119.86872613634786,112.22890917060063,134.55768862074692
13,112.69109694206287,113.54412784501743,131.37834800457688,123.40190728282381,145.0671938339776
14,123.18221743882947,123.18221743882947,141.91076158638415,132.23868455125026,155.64458012697565
15,130.64736406747858,130.64736406747858,154.63260305374448,142.7506858217653,167.35437423701762
16,143.83098000228063,138.16374225261367,168.50445524334236,152.51733674163552,178.75378419351483
17,158.12549189134964,146.48811296839688,181.39218704908586,163.98557213513703,187.59044216289544
18,168.40498013467746,156.39260665593608,192.20108452819844,173.05432155313932,197.38543511695823
19,182.89303532692628,168.66472322328497,203.07910298163733,183.8404717276985,208.15233927165667
20,193.31076878681108,181.01881028101144,215.1209563521791,195.53013508215878,219.00070072207595
21,207.9923672822397,191.9003606356025,226.13721675427067,204.77286361234295,229.93051946821606
22,222.77073742925825,200.50650491205866,239.10658283643355,214.91910532242818,239.10658283643355
23,234.4583488424506,208.3815039925957,251.3765354222522,224.27781992740026,249.27492172921689
24,245.1525727354494,215.5151115659164,263.7225210798298,236.26272056313886,261.38029491529477
25,255.91591923672672,228.27905107553084,277.27381423910606,247.46009409376433,272.63594284431827
26,268.9148821681937,237.11061420052536,288.63567951282926,258.72600485040084,283.97304806906266
27,281.99679222959486,247.61451709895064,301.20976438568374,270.0604528330484,294.44006371282245
28,294.064577988319,258.99813670710444,312.7098716080596,281.463438041707,306.8984185136907
29,305.10441492271036,266.36228628461214,324.27909980476176,291.1701108710428,319.4450187182565
30,316.2133744653802,279.53607824611447,335.91744897579025,302.71017053172346,332.0798643265199
31,327.3914566163285,289.47790008502443,349.96641315021606,312.5328294358472,343.82425602986854
32,338.6386613755554,301.98202471839085,361.74300426989726,322.4134813773649,356.6355924455271
33,355.45518643341114,311.2080708283275,377.142429992107,333.2556395361776,369.53517426488327
34,369.9522978986503,322.1781808907753,391.4402296741076,345.06984810090245,381.5239378553944
35,385.7473613767547,331.5169364249811,405.82097452529985,356.0385365231202,392.5883070011071
36,401.63228424562124,345.18255132874896,420.28466454568365,368.90914900269377,403.7273453345639
37,413.9205782914894,355.3787861899521,433.61908013612776,380.0043676883165,414.9410528557648
38,425.20321350026023,363.7672685681375,445.8103971017669,393.02259880852927,425.20321350026023
39,438.6322677418019,375.0133896068346,458.0708350417324,403.3092020118047,438.6322677418019
40,449.0301905458321,390.0901881488083,472.86630573888255,416.4750517726566,449.0301905458321
41,461.5891552063892,404.30153411663764,485.26498562750066,428.76902091945874,461.5891552063892
42,475.28294565902365,413.82699631834316,497.7327864904451,440.18056526359396,475.28294565902365
43,489.06498151535567,422.44602070071556,500,451.6553747394317,489.06498151535567
44,500,437.8507012041996,500,465.11646178156195,500
45,500,453.33735219806124,500,477.68457983240825,500
46,500,463.0677406257107,500,490.32123510926556,500
47,500,475.78384660508686,500,500,500
48,500,487.58326845383266,500,500,500
49,500,499.44416817036165,500,500,500
50,500,500,500,500,500
